index,eval_experiment_uuid,run_uuid,metric_val,model_config_uuid,model_uuid,model_classpath,hyperparameters,class_ratio,task_type,si,i,ni,ri,performance,fairness,iteration_params,matrix_type,target_threshold,validation_precision,validation_sex_min_tpr_disparity,alpha,eta_exp_budget,tuner,performance_test,fairness_test,dataset,performance_metric,fairness_metric
82,2dd35f877805972a5bef858efd2bfb0d,947bb7253f9d78a470cee1d107153489,0.89962,1b99a27533164029bccaefca4d0bee82,38af79851ea6b752e16878babc0b4fe5,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0013735579087421114, 'model__dropout': 0.24392726388307295, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [20, 20], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0}",,Hyperband,4.0,1.0,27.0,3.704,0.9574,0.84184,{'alpha': 0.5},validation,tpr = 50,0.9574,0.84184,0.5,0.037,FB (alpha=0.5),0.9545,0.80061,Adult,precision,sex_min_tpr_disparity
11,2dd35f877805972a5bef858efd2bfb0d,9c1ca43fe8cf601bc169298b59f0ef6e,0.99317,29ca012107c395bc6768ffb33f0be9c1,31b91688c9fc5f2fea05fa9255862973,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 22, 'max_features': 'log2', 'n_estimators': 896, 'min_samples_leaf': 2, 'min_samples_split': 8}",,RandomSearch,,,,100.0,0.99317,0.53387,{'alpha': 1},validation,tpr = 50,0.99317,0.53387,1,,RS,0.9906,0.5396,Adult,precision,sex_min_tpr_disparity
8,2dd35f877805972a5bef858efd2bfb0d,9ee6c67b86ee504be60f2cfaaceb4c6a,0.82188,3d423422bad4a7b04ffaef6ccd95e014,c404c71322d887dc239dd7c58e4c2023,sklearn.tree.DecisionTreeClassifier,"{'splitter': 'best', 'criterion': 'gini', 'max_depth': 18, 'min_samples_leaf': 1, 'min_samples_split': 50}",,RandomSearch,,,,100.0,0.9717,0.67205,{'alpha': 0.5},validation,tpr = 50,0.9717,0.67205,0.5,,RS (alpha=0.5),0.97315,0.74014,Adult,precision,sex_min_tpr_disparity
36,2dd35f877805972a5bef858efd2bfb0d,a30fd13c34f4ca03eb3b95cfb5c63b79,0.94294,ed85b3fd0eb9fa2948181bedbcd82d23,af3914e23e13093e824bb9b99ff63c70,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0012917366531262808, 'model__dropout': 0.1508537401127339, 'model__input_dim': 106, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [20, 20], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,4.0,0.0,81.0,1.235,0.95114,0.935,{'alpha': 'dynamic'},validation,tpr = 50,0.95114,0.935,dynamic,0.0123,FB,0.94737,0.87941,Adult,precision,sex_min_tpr_disparity
4,2dd35f877805972a5bef858efd2bfb0d,a8cfb4b729b6c9dfa830a6ac854fbf41,0.86627,3d004e14faccb1ed5f7b248bf73392c5,ae76ae9f26fb366682c8c6aae605b89e,sklearn.tree.DecisionTreeClassifier,"{'splitter': 'best', 'criterion': 'gini', 'max_depth': 23, 'min_samples_leaf': 1, 'min_samples_split': 7}",,RandomSearch,,,,100.0,0.92863,0.80391,{'alpha': 0.5},validation,tpr = 50,0.92863,0.80391,0.5,,RS (alpha=0.5),0.93253,0.80592,Adult,precision,sex_min_tpr_disparity
119,2dd35f877805972a5bef858efd2bfb0d,ab225f2c88ba7a40f7a0c2f6b71450cf,0.99397,26bac83b03b02211e85698ab1f4111f6,c717aac4a62f03294ea06cdd86b83efe,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'gini', 'max_depth': 23, 'max_features': 'sqrt', 'n_estimators': 274, 'min_samples_leaf': 3, 'min_samples_split': 11}",,Hyperband,4.0,3.0,3.0,33.333,0.99397,0.5304,{'alpha': 1},validation,tpr = 50,0.99397,0.5304,1,0.3333,HB,0.98961,0.53827,Adult,precision,sex_min_tpr_disparity
8,2dd35f877805972a5bef858efd2bfb0d,ac563492539cfb1c6f23c7251f640d53,0.99397,a2c97dd39c3970f16e7508fa1d98ba9c,2661042b6178f5f551a03e89978610f3,lightgbm.LGBMClassifier,"{'max_depth': 42, 'num_leaves': 194, 'n_estimators': 531, 'boosting_type': 'goss', 'learning_rate': 0.03613338653543544, 'min_child_samples': 73}",,RandomSearch,,,,100.0,0.99397,0.54707,{'alpha': 1},validation,tpr = 50,0.99397,0.54707,1,,RS,0.99044,0.55687,Adult,precision,sex_min_tpr_disparity
4,2dd35f877805972a5bef858efd2bfb0d,b5f74017d193ec14e5cefc65303fb53b,0.87075,e23075a58961900c820d6c4370c62592,2ab58a2149343a59f7af412c04a42c8d,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0008474894129774051, 'model__dropout': 0.11053503314865996, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,RandomSearch,,,,100.0,0.97361,0.76788,{'alpha': 0.5},validation,tpr = 50,0.97361,0.76788,0.5,,RS (alpha=0.5),0.97348,0.73245,Adult,precision,sex_min_tpr_disparity
84,2dd35f877805972a5bef858efd2bfb0d,b6c0a84ea589440302016e329c105af6,0.88268,a6010342e5081cecc8ea20f3e8c33bce,2858c3989ea71c70d68951176cd82718,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0006774426123399691, 'model__dropout': 0.3656075252540473, 'model__input_dim': 106, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [200, 100], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0.001}",,Hyperband,4.0,1.0,27.0,3.704,0.81557,0.97532,{'alpha': 'dynamic'},validation,tpr = 50,0.81557,0.97532,dynamic,0.037,FB,0.8144,0.96814,Adult,precision,sex_min_tpr_disparity
13,2dd35f877805972a5bef858efd2bfb0d,c072c0d7661dc1b30c1f8857e53bca8a,0.99357,c956a11b47dda417e2050755482d88c5,ca954eec6d70009caf6b97213d1faeb8,lightgbm.LGBMClassifier,"{'max_depth': 9, 'num_leaves': 18, 'n_estimators': 2789, 'boosting_type': 'gbdt', 'learning_rate': 0.020175527726409216, 'min_child_samples': 3}",,RandomSearch,,,,100.0,0.99357,0.57531,{'alpha': 1},validation,tpr = 50,0.99357,0.57531,1,,RS,0.99202,0.59253,Adult,precision,sex_min_tpr_disparity
